id	custom_label_2	custom_label_3	custom_label_4
3786/775	35		30
3786/779	35		30
3786/863	35		30
3786/881	35		30
3786/887	35		30
3786/999	35		30
AB19	40	Abtex	30
AB20	60	Abtex	55
3864/001	50		45
3864/999	50		45
3870/NIK	45		40
3870/STA	45		40
3870/STA2	75		70
9611	50	Polytex	45
AB21	40	Abtex	25
AB22	40	Abtex	30
TM26	35		25
MOON202	40		30
4131/101	55	Unipoly	50
4131/102	55	Unipoly	50
4131/103	50	Unipoly	45
4131/104	50	Unipoly	45
4131/105	50	Unipoly	45
4131/106	50	Unipoly	45
4131/107	50	Unipoly	45
4131/108	50	Unipoly	45
4131/109	50	Unipoly	45
4131/110	50	Unipoly	45
4131/111	50	Unipoly	45
4131/112	50	Unipoly	45
4131/113	50	Unipoly	45
4131/114	50	Unipoly	45
4131/115	50	Unipoly	45
4131/116	50	Unipoly	45
4131/117	50	Unipoly	45
4131/118	50	Unipoly	45
4131/119	50	Unipoly	45
4131/120	50	Unipoly	45
4131/121	50	Unipoly	45
4131/122	50	Unipoly	45
4131/123	50	Unipoly	45
4131/124	50	Unipoly	45
4131/125	50	Unipoly	45
4131/126	50	Unipoly	45
4131/127	50	Unipoly	45
4131/128	50	Unipoly	45
4131/129	50	Unipoly	45
4131/130	50	Unipoly	45
4131/131	50	Unipoly	45
4131/132	50	Unipoly	45
4131/133	50	Unipoly	45
4131/134	50	Unipoly	45
4131/135	50	Unipoly	45
4131/136	50	Unipoly	45
4131/137	50	Unipoly	45
4131/138	50	Unipoly	45
4131/139	50	Unipoly	45
4131/140	50	Unipoly	45
4131/141	50	Unipoly	45
4131/142	50	Unipoly	45
4131/143	50	Unipoly	45
4131/144	50	Unipoly	45
4131/145	50	Unipoly	45
4131/146	50	Unipoly	45
4131/147	50	Unipoly	45
4131/148	50	Unipoly	45
4131/149	50	Unipoly	45
4131/150	50	Unipoly	45
4131/151	50	Unipoly	45
4131/152	50	Unipoly	45
4131/153	50	Unipoly	45
4131/154	50	Unipoly	45
4131/155	50	Unipoly	45
4131/156	50	Unipoly	45
4131/157	50	Unipoly	45
4131/158	50	Unipoly	45
4131/159	50	Unipoly	45
4131/160	50	Unipoly	45
4131/161	50	Unipoly	45
4131/162	50	Unipoly	45
4131/163	50	Unipoly	45
4131/164	50	Unipoly	45
4131/165	50	Unipoly	45
4131/166	50	Unipoly	45
4131/167	50	Unipoly	45
4131/168	50	Unipoly	45
4131/169	50	Unipoly	45
4131/170	50	Unipoly	45
4131/171	50	Unipoly	45
4131/172	50	Unipoly	45
4131/173	50	Unipoly	45
4131/174	50	Unipoly	45
4131/175	50	Unipoly	45
4131/176	50	Unipoly	45
4131/177	50	Unipoly	45
4131/178	50	Unipoly	45
4131/179	50	Unipoly	45
4131/180	50	Unipoly	45
4131/181	50	Unipoly	45
4131/182	50	Unipoly	45
4131/183	50	Unipoly	45
4131/184	50	Unipoly	45
4131/185	50	Unipoly	45
4131/186	50	Unipoly	45
4131/187	50	Unipoly	45
4131/188	50	Unipoly	45
4131/189	50	Unipoly	45
4131/190	50	Unipoly	45
4131/191	50	Unipoly	45
4131/192	50	Unipoly	45
4131/193	50	Unipoly	45
4131/194	50	Unipoly	45
4131/195	50	Unipoly	45
4131/196	50	Unipoly	45
4131/197	50	Unipoly	45
4131/198	50	Unipoly	45
4131/199	50	Unipoly	45
4131/200	50	Unipoly	45
4131/201	50	Unipoly	45
4131/202	50	Unipoly	45
4131/203	50	Unipoly	45
4131/204	50	Unipoly	45
4131/205	50	Unipoly	45
4131/206	50	Unipoly	45
4131/207	50	Unipoly	45
4131/208	50	Unipoly	45
4131/209	50	Unipoly	45
4131/210	50	Unipoly	45
4131/211	50	Unipoly	45
4131/212	50	Unipoly	45
4131/213	50	Unipoly	45
4131/214	50	Unipoly	45
4131/215	50	Unipoly	45
4131/216	50	Unipoly	45
4131/217	50	Unipoly	45
4131/218	50	Unipoly	45
4131/219	50	Unipoly	45
4131/220	50	Unipoly	45
4131/221	50	Unipoly	45
4131/222	50	Unipoly	45
4131/223	50	Unipoly	45
4131/224	50	Unipoly	45
4131/225	50	Unipoly	45
4131/226	50	Unipoly	45
4131/227	50	Unipoly	45
4131/228	50	Unipoly	45
4131/229	50	Unipoly	45
4131/230	50	Unipoly	45
4131/231	50	Unipoly	45
4131/232	50	Unipoly	45
4131/233	50	Unipoly	45
4131/234	50	Unipoly	45
4131/235	50	Unipoly	45
4131/236	50	Unipoly	45
4131/237	50	Unipoly	45
4131/238	50	Unipoly	45
4131/239	50	Unipoly	45
4131/240	50	Unipoly	45
4131/241	50	Unipoly	45
4131/242	50	Unipoly	45
4131/243	50	Unipoly	45
4131/244	50	Unipoly	45
4131/245	50	Unipoly	45
4131/246	50	Unipoly	45
4131/247	50	Unipoly	45
4131/248	50	Unipoly	45
4131/249	50	Unipoly	45
4131/250	50	Unipoly	45
4131/251	50	Unipoly	45
4131/252	50	Unipoly	45
4131/253	50	Unipoly	45
4131/254	50	Unipoly	45
4131/255	50	Unipoly	45
4131/256	50	Unipoly	45
4131/257	50	Unipoly	45
4131/258	50	Unipoly	45
4131/259	50	Unipoly	45
4131/260	50	Unipoly	45
4131/261	50	Unipoly	45
4131/262	50	Unipoly	45
4131/263	50	Unipoly	45
4131/264	50	Unipoly	45
4131/265	50	Unipoly	45
4131/266	50	Unipoly	45
4131/267	50	Unipoly	45
4131/268	50	Unipoly	45
4131/269	50	Unipoly	45
4131/270	50	Unipoly	45
4131/271	50	Unipoly	45
4131/272	50	Unipoly	45
4131/273	50	Unipoly	45
4131/274	50	Unipoly	45
4131/275	50	Unipoly	45
4131/276	50	Unipoly	45
4131/277	50	Unipoly	45
4131/278	50	Unipoly	45
4131/279	50	Unipoly	45
4131/280	50	Unipoly	45
4131/281	50	Unipoly	45
4131/282	50	Unipoly	45
4131/283	50	Unipoly	45
4131/284	50	Unipoly	45
4131/285	50	Unipoly	45
4131/286	50	Unipoly	45
4131/287	50	Unipoly	45
4131/288	50	Unipoly	45
4131/289	50	Unipoly	45
4131/290	50	Unipoly	45
4131/291	50	Unipoly	45
4131/292	50	Unipoly	45
4131/293	50	Unipoly	45
4131/294	50	Unipoly	45
4131/295	50	Unipoly	45
4131/296	50	Unipoly	45
4131/297	50	Unipoly	45
4131/298	50	Unipoly	45
4131/299	50	Unipoly	45
4131/300	50	Unipoly	45
4131/301	50	Unipoly	45
4131/302	50	Unipoly	45
4131/303	50	Unipoly	45
4131/304	50	Unipoly	45
4131/305	50	Unipoly	45
4131/306	50	Unipoly	45
4131/307	50	Unipoly	45
4131/308	50	Unipoly	45
4131/309	50	Unipoly	45
4131/310	50	Unipoly	45
4131/311	50	Unipoly	45
4131/312	50	Unipoly	45
4131/313	50	Unipoly	45
4131/314	50	Unipoly	45
4131/315	50	Unipoly	45
4131/316	50	Unipoly	45
4134/001	35	Unipoly	25
4134/999	40	Unipoly	35
740682	55		50
4286/299	60		
4286/5M	60		55
4286/724	60		55
4286/HLADKY	60		
4286/HNEDY	70		65
4286/KHAKI	70		65
4286/SLZAS	60		55
4286/SLZAZ	60		55
880211	45		40
NDY	60		55
NDYB	60		55
NDYC	60		55
4290/316	65		
4290/779	70		65
4290/BIL	70		65
4290/BIL2	65		60
4290/CER	65		60
4290/MET	55		50
4290/MET2	70		65
4290/MET3	55		50
4290/MET4	55		50
4290/MET5	55		50
4290/SPI	70		65
4380/62	35		25
PEN38	45	Edentex	30
OV4527	20	Brother	
4933621706739	15	Strima	5
DS4536	35	Brother	
4933621703448	25	Strima	10
4560/002	40	Polimex	35
4560/025	40	Polimex	35
4560/030	45	Polimex	40
4560/057	45	Polimex	40
4560/101	60	Polimex	55
4560/110507	60	Polimex	55
4560/120607	60	Polimex	55
4560/130859	60	Polimex	55
4560/131014	45	Polimex	40
4560/133	60	Polimex	55
4560/145413	45	Polimex	40
4560/151164	60	Polimex	55
4560/151523	60	Polimex	55
4560/151626	45	Polimex	40
4560/152215	60	Polimex	55
4560/154101	40	Polimex	35
4560/154704	45	Polimex	40
4560/154825	45	Polimex	40
4560/161255	60	Polimex	55
4560/164	60	Polimex	55
4560/172227	60	Polimex	55
4560/174	60	Polimex	55
4560/180615	45	Polimex	40
4560/181762	45	Polimex	40
4560/191761	45	Polimex	40
4560/191762	45	Polimex	40
4560/193903	45	Polimex	40
4560/193920	45	Polimex	40
4560/193952	60	Polimex	55
4560/199	45	Polimex	40
4560/206	40	Polimex	35
4560/218	45	Polimex	40
4560/307	45	Polimex	40
4560/310	45	Polimex	40
4560/332	45	Polimex	40
4560/333	45	Polimex	40
4560/336	60	Polimex	55
4560/525	60	Polimex	55
4560/647	60	Polimex	55
4560/725	45	Polimex	40
4560/741	40	Polimex	35
4560/754	45	Polimex	40
4560/758	60	Polimex	55
4560/906	45	Polimex	40
4560/928	45	Polimex	40
90089	40		35
PP025	35	Aml dzianiny	20
7393033087036	40	Strima	
7393033129842	15	Strima	
CO4686	35	Brother	20
7393033079000	20		10
OV4707	35	Brother	
4933621707637	20	Strima	20
OV4809	35	Brother	
PP005	40	Aml dzianiny	15
PP117	35	Aml dzianiny	25
PP168	45	Aml dzianiny	35
SICAVE	35	Signo	30
6627	35		30
6618	50		45
CO5067	40	Brother	15
4933621703493	25	Strima	5
4933621703974	35	Strima	
5226/001	35		30
5226/999	35		30
21455321	25	Kreda Trade	5
4933621708290	30	Strima	
PP066	45	Aml dzianiny	40
5310/CER	90		90
5310/NIK	90		90
5310/STA	90		90
AB391	40	Abtex	30
AB338	45	Abtex	35
7393033084035	20		
OV5361	25		
7393033049256	10		5
AB454	45	Abtex	40
6001	40		30
3201	65		60
5448/101	65	Polimex	60
5448/103	65	Polimex	60
5448/111	65	Polimex	60
5448/128	65	Polimex	60
5448/133	65	Polimex	60
5448/143	65	Polimex	60
5448/145	65	Polimex	60
5448/148	65	Polimex	60
5448/165	65	Polimex	60
5448/171	65	Polimex	60
5448/178	65	Polimex	60
5448/199	65	Polimex	60
5448/208	65	Polimex	60
5448/211	65	Polimex	60
5448/227	65	Polimex	60
5448/243	65	Polimex	60
5448/280	65	Polimex	60
5448/291	65	Polimex	60
5448/292	65	Polimex	60
5448/299	65	Polimex	60
5448/307	65	Polimex	60
5448/310	65	Polimex	60
5448/312	65	Polimex	60
5448/332	65	Polimex	60
5448/335	65	Polimex	60
5448/340	65	Polimex	60
DS5457	30	Brother	15
21457011	40		30
21455022	30	Kreda Trade	20
21455111	45	Kreda Trade	35
5904341681131	30		20
DS5493	5	Brother	
7393033078713	35		25
5904341680578	30		10
DS5505	25	Brother	20
4033	30		25
5517/3 M	0		-10
5517/BEZ	50		45
4933621707668	25	Strima	
4933621703387	20	Strima	5
4933621707644	25	Strima	20
4933621707972	20	Strima	5
4933621703554	30	Strima	15
4933621707866	25	Strima	10
7393033100124	25	Strima	
4933621708702	25	Strima	
4933621706746	20	Strima	
4933621708719	15	Strima	
4933621707859	15	Strima	5
4933621707538	25	Strima	5
5904341682008	25		20
5634	65		
5904341680233	30		20
DS5643	30	Brother	
4933621707521	5	Strima	
DS5691	25	Brother	15
DS5697	40	Brother	
7393033090494	40	Strima	15
7393033086619	45	Strima	
OV5715	35	Strima	
7393033082628	35	Strima	15
7393033100131	25	Strima	
660	45		40
6589529	55	Strima	50
1151	55	Strima	45
1168	35	Strima	25
PP030	55	Aml dzianiny	50
1731	45	Strima	35
9202	40	Polytex	35
9207	45	Polytex	40
9221	40	Polytex	30
1809	45	Strima	40
21391611	25		10
444268	50	Strima	45
445364	50	Strima	45
57501B	35		25
57501R	35		25
6751	30		20
5558	65		60
6147/12	40		30
6147/1211	40		30
6147/1758	55		50
6147/1959	40		30
6147/1960	40		30
6147/20N	40		35
6147/307	40		30
6147/5C	30		20
6147/5N	30		20
6147/6 K	30		20
6147/86018	30		20
6147/86038	45		35
6147/86300	60		55
6147/86301	60		55
6147/86302	45		40
6147/CER	40		30
6147/ZLA	40		30
6147/ZLA2	40		30
6147303	40		30
2518P	75	Strima	75
86333/123	35		30
86333/BAR	35		30
86333/CER	35		30
86333/CERPUNT	35		30
86333/MOR	35		30
86333/PUN	35		30
86333/ROCK	35		30
6190	35		
PP011	30	Aml dzianiny	20
6271/BIL	45	Polimex	40
6271/CER	40	Polimex	35
PINATA	25		15
6418/556	50		45
6418/865	50		45
92120055	30		20
60700971	40	Novatex	30
6638/BIL	45		40
6638/CER	45		40
6767/12	40		35
6767/14	40		35
6767/16	40		35
6767/18	40		35
6767/20	40		35
861581	25		15
3862302	35	Kreda Trade	25
214079	30		10
D77	40	Apoz	35
6664	30		25
444312	40	Strima	35
7393033024109	20		
7393033093983	30	Strima	15
3700394500250	45	Strima	20
3700394500274	10	Strima	
3700394500267	40	Strima	10
7393033024352	20		
PEN2	50	Edentex	40
PEN282	45	Edentex	40
PEN256	45	Edentex	40
9725	15	Polimex	5
25051/001	40		30
25051/10	40		30
25051/337	40		30
25051/347	40		30
25051/549	40		30
25051/588	40		30
25051/678	40		30
25051/697	40		30
25051/710	40		30
25051/762	40		30
25051/778	40		30
25051/779	40		30
25051/864	40		30
25051/865	40		30
25051/999	40		30
25019/10	40		30
25019/12	40		30
25019/MOD	40		30
310178	60		55
7370/CER	50		40
7370/SED	50		40
7370/SME	50		40
3862301133	0	Kreda Trade	-15
50028	70		65
60700615	40	Novatex	30
444770	40	Strima	30
D89	40	Apoz	30
213326155	30		20
1557	40	Strima	35
105153	55	Rumitex	45
AB743	45	Abtex	40
AB555	45	Abtex	35
AB643	45	Abtex	35
968008	45		40
SUPERHERO1B	45		35
445784	45	Strima	40
AB79	40	Abtex	30
AB1176	45	Abtex	35
PEN61	45	Edentex	40
903216	65		65
445289	50	Strima	45
445807	55	Strima	50
2042	35	Strima	25
DINO1B	20		10
AB224	30	Abtex	20
3347069	45	Novatex	35
60700932	40	Novatex	35
AB701	40	Abtex	30
160101	25		15
AB703	45	Abtex	35
7484901	45		40
AB246	35	Abtex	20
AB204	35	Abtex	25
AB104	30	Abtex	15
AB144	40	Abtex	35
AB353	45	Abtex	35
AB1623	45	Abtex	35
AB587	45	Abtex	35
AB1098	40	Abtex	30
AB505	55	Abtex	45
9752	60		55
98234	70		70
31417202	35		25
PEN300	45	Edentex	40
88311	75		70
88312	45		35
3862301156	45		30
PP271/1	35	Aml dzianiny	20
8984	40	Brother	15
DS8990	45	Brother	25
DS9038	20	Brother	
9041	35	Brother	
B139	30	Apoz	15
PP038	35	Aml dzianiny	25
62020003	55	Dream	45
62020002	55	Dream	50
161120106	20		10
AB777	45	Abtex	40
C10	25		10
C20	35	Mcolors	25
C21	35	Mcolors	25
9476/001	40		35
9476/10	40		35
9476/12	40		35
9476/13	40		35
9476/336	40		35
9476/347	40		35
9476/549	40		35
9476/556	40		35
9476/672	40		35
9476/697	40		35
9476/710	40		35
9476/744	40		35
9476/779	40		35
9476/852	40		35
9476/865	40		35
9476/878	40		35
AB374	35	Abtex	25
386230115	40		30
AB722	35	Abtex	20
PEN86	45	Edentex	40
AB987	30	Abtex	15
PP131/1	35	Aml dzianiny	20
9692/500	35	Unipoly	25
9692/501	40	Unipoly	35
9692/502	40	Unipoly	35
9692/563	40	Unipoly	35
9692/B/115	40	Unipoly	35
9692/B/122	40	Unipoly	35
9692/B/123	40	Unipoly	35
9692/B/126	40	Unipoly	35
9692/B/164	40	Unipoly	35
9692/B/175	40	Unipoly	35
9692/B/178	40	Unipoly	35
9692/B/224	40	Unipoly	35
9692/B/273	40	Unipoly	35
9692/B/274	40	Unipoly	35
9692/B/323	40	Unipoly	35
9692/B/331	40	Unipoly	35
9692/B/336	40	Unipoly	35
9692/B/337	40	Unipoly	35
9692/B/348	40	Unipoly	35
9692/B/370	35	Unipoly	25
9692/B/372	35	Unipoly	25
9692/B/377	45	Unipoly	40
9692/B/443	40	Unipoly	35
9692/B/452	50	Unipoly	45
9692/B/458	50	Unipoly	45
9692/B/538	50	Unipoly	45
9692/B/548	40	Unipoly	35
9692/B/549	40	Unipoly	35
9692/B/550	40	Unipoly	35
9692/B/552	40	Unipoly	35
9692/B/556	40	Unipoly	35
9692/B/568	40	Unipoly	35
9692/B/583	40	Unipoly	35
9692/B/585	40	Unipoly	35
9692/B/598	40	Unipoly	35
9692/B/617	40	Unipoly	35
9692/B/628	40	Unipoly	35
9692/B/652	40	Unipoly	35
9692/B/658	40	Unipoly	35
9692/B/660	40	Unipoly	35
9692/B/669	40	Unipoly	35
9692/B/673	40	Unipoly	35
9692/B/686	40	Unipoly	35
9692/B/687	40	Unipoly	35
9692/B/710	40	Unipoly	35
9692/B/720	40	Unipoly	35
9692/B/721	40	Unipoly	35
9692/B/723	40	Unipoly	35
9692/B/728	40	Unipoly	35
9692/B/733	40	Unipoly	35
9692/B/762	40	Unipoly	35
9692/B/764	40	Unipoly	35
9692/B/766	40	Unipoly	35
9692/B/772	40	Unipoly	35
9692/B/778	40	Unipoly	35
9692/B/782	40	Unipoly	35
9692/B/786	40	Unipoly	35
9692/B/854	40	Unipoly	35
